Method,GldStd,PPIN,Predicts,Refs,Precision,Recall,F0.5-score,F1-score,F2-score,AUC-PR,MMR,Sensitivity,PPP,Accuracy,F-Match,Separation
MCL,SGD,Gavin,440,306,0.18636363636363637,0.29411764705882354,0.2010986855012753,0.22815804117974403,0.2636316872427984,0.1167424815864224,0.244344913993193,0.49167145318782307,0.6131059245960503,0.5490416021616248,0.4411764705882353,0.3863258826278315
P5COMP,SGD,KroganCore,537,306,0.819366852886406,0.5522875816993464,0.7471084211457002,0.6598252829502247,0.5908029867490422,0.27372784095504094,0.49041185355512956,0.5640436530729466,0.6268772656654583,0.5946310982065478,0.630718954248366,0.35006836568370886
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.7090861252411859,0.6016744186046512,0.5225231047631358,0.299514434994324,0.38886669645927,0.5221137277426766,0.6370510396975425,0.5767261855498083,0.5816993464052288,0.6223647579906654
CUBCO+,SGD,KroganCore,160,306,0.725,0.4084967320261438,0.6277273671815474,0.5225601845178031,0.4475750691426314,0.19022408828657206,0.33339397888221073,0.4485927627800115,0.6306010928961748,0.5318675459871468,0.5359477124183006,0.5944294175254528
ClusterOne,SGD,KroganCore,108,306,0.8796296296296297,0.3562091503267974,0.6798366553743533,0.5070760491650752,0.40432792927873046,0.25932096437365393,0.2731981230268628,0.462952326249282,0.6217038539553753,0.5364878800371774,0.4215686274509804,0.5010852195782692
MCL,SGD,KroganCore,788,306,0.1383248730964467,0.37254901960784315,0.15821962809601664,0.20174370464176125,0.2783003655127929,0.06837012638896438,0.2865037011225696,0.49339460080413555,0.6198960653303638,0.5530401176169132,0.5032679738562091,0.35185522511551054
P5COMP,SGD,KroganExt,573,306,0.7818499127399651,0.5522875816993464,0.7218421313563523,0.6473185850165653,0.5867427993967659,0.2684683492197243,0.4879568811309943,0.5588742102240092,0.6234489744239048,0.5902792163003271,0.6241830065359477,0.3473277383931971
PC2P,SGD,KroganExt,172,306,0.8023255813953488,0.5032679738562091,0.7171008233229855,0.6185458990628091,0.5438075742067553,0.3121171719853665,0.41008495041685916,0.5491097070649053,0.6414414414414414,0.5934827057372443,0.6111111111111112,0.633905379138426
CUBCO+,SGD,KroganExt,162,306,0.7469135802469136,0.43790849673202614,0.6545398763099678,0.5521163210406238,0.4774103125809719,0.21615421464133922,0.3487392230233376,0.4744399770246984,0.6271008403361344,0.5454555053175691,0.5588235294117647,0.6084310441884981
ClusterOne,SGD,KroganExt,109,306,0.8899082568807339,0.35947712418300654,0.6871281007702016,0.5120944519101555,0.4081304793524992,0.2694307640913892,0.27462332273637624,0.4658242389431361,0.6211365902293121,0.5379037826817208,0.4215686274509804,0.49912467064675226
MCL,SGD,KroganExt,888,306,0.09572072072072071,0.28431372549019607,0.11036193341571303,0.1432223577944338,0.2039482393433942,0.029054780153338077,0.24086222776765134,0.5100516944284894,0.604040404040404,0.5550602053688207,0.4542483660130719,0.3342064592656653
P5COMP,SGD,BIM,789,306,0.8288973384030418,0.8300653594771242,0.8291306795721081,0.8294809377574714,0.8298314919942215,0.517626001949906,0.7712822109156812,0.8816771970132108,0.6216537775133849,0.7403363830521065,0.8986928104575164,0.3992088086596609
PC2P,SGD,BIM,216,306,0.9166666666666666,0.7647058823529411,0.8816276202219483,0.8338192419825073,0.790929203539823,0.6160347347010142,0.6042876785774337,0.8604250430786904,0.6682926829268293,0.7582979364975819,0.8562091503267973,0.7535636617279139
CUBCO+,SGD,BIM,224,306,0.7991071428571429,0.6437908496732027,0.762324567851059,0.713089725182504,0.6698287390207581,0.4418467424852033,0.5505808322249416,0.7162550258472142,0.655363321799308,0.6851330330634187,0.7679738562091504,0.7205882248879474
ClusterOne,SGD,BIM,172,306,0.9127906976744186,0.6111111111111112,0.8307677506253609,0.7320898685883851,0.6543649590785088,0.5117164458056643,0.47574794008556737,0.816771970132108,0.6510067114093959,0.7291940991581576,0.6928104575163399,0.6460027101713012
MCL,SGD,BIM,1522,306,0.07490144546649145,0.3888888888888889,0.08932569177039491,0.1256099480560365,0.21153642243664508,0.07766247112681245,0.33088209734713875,0.6025272831705916,0.6327000575705239,0.617429386043331,0.6111111111111112,0.27275944545584224
