Method,GldStd,PPIN,Predicts,Refs,Precision,Recall,F0.5-score,F1-score,F2-score,AUC-PR,MMR,Sensitivity,PPP,Accuracy,F-Match,Separation
P5COMP,CYC,Collins,552,408,0.8858695652173914,0.5784313725490197,0.8007493755203997,0.6998762826577397,0.6215744570837642,0.33786377154206704,0.49662229202331815,0.6614583333333334,0.7383105140790494,0.6988287645233305,0.6102941176470589,0.41827539105307965
PC2P,CYC,Collins,209,408,0.8995215311004785,0.5294117647058824,0.7891791044776119,0.6665353555249163,0.5768837367882714,0.3438210523460392,0.41328896401286713,0.6395833333333333,0.7383399209486166,0.6871898629733896,0.5808823529411765,0.6721277676223001
CUBCO+,CYC,Collins,204,408,0.8431372549019608,0.4681372549019608,0.7267112621221774,0.602015759574858,0.5138456148253814,0.2773675999029484,0.37697230627147493,0.5552083333333333,0.7397137745974955,0.6408550943372335,0.5343137254901961,0.6500663452383008
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.7296893091470475,0.5328987932705012,0.41970752282376456,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
MCL,CYC,Collins,330,408,0.47575757575757577,0.42401960784313725,0.4644239713285183,0.4484011028015783,0.43344695736545447,0.20619780706048127,0.34833192594827395,0.6598958333333333,0.677136596055515,0.6684606333469091,0.5220588235294118,0.5345107950600813
P5COMP,CYC,Gavin,607,408,0.8550247116968699,0.4803921568627451,0.739660287359665,0.6151594683179933,0.526532640427338,0.30512711329133557,0.41988819073972833,0.6005208333333333,0.7438934122871946,0.6683737665841494,0.5196078431372549,0.3368028141164353
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.7475259189443921,0.6060895522388059,0.5096590224507008,0.31079085095855274,0.3550831327803789,0.5291666666666667,0.7618613138686131,0.6349422114823845,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,177,408,0.8192090395480226,0.3872549019607843,0.6697890354570118,0.5259050111333012,0.43290779498575244,0.25402435609977136,0.3271806901007811,0.4359375,0.7775377969762419,0.5822008960567912,0.45098039215686275,0.5928260670467553
ClusterOne,CYC,Gavin,110,408,0.9,0.2867647058823529,0.6303879310344828,0.43494423791821557,0.3320090805902383,0.22704937393782046,0.2130460499307818,0.4296875,0.738045738045738,0.5631421029070087,0.3137254901960784,0.4576201265237951
MCL,CYC,Gavin,440,408,0.24545454545454545,0.28431372549019607,0.2523527136779683,0.2634589502018842,0.2755877798113473,0.12813477203999787,0.24281725987665442,0.5260416666666666,0.6942724458204335,0.6043312291451798,0.40931372549019607,0.42367283177881226
P5COMP,CYC,KroganCore,696,408,0.8333333333333334,0.5759803921568627,0.7649739583333333,0.6811594202898551,0.6138975966562172,0.32592594787545504,0.5087889445882943,0.5942708333333333,0.7369739478957916,0.6617870670850169,0.6151960784313726,0.3737857965597275
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5122549019607843,0.7505444604049858,0.6390649273789856,0.5564191307185613,0.3221498914795751,0.4161860921963981,0.5401041666666667,0.7506654835847383,0.6367397862996826,0.5735294117647058,0.6624054501981496
CUBCO+,CYC,KroganCore,224,408,0.7723214285714286,0.4583333333333333,0.6792547115933751,0.5752720677146312,0.4988989093959731,0.24199767808285985,0.3771865513728905,0.45,0.7685279187817259,0.5880795553764615,0.5073529411764706,0.6199736769845652
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.6497904314046207,0.4772855265627933,0.3771583694297751,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
MCL,CYC,KroganCore,788,408,0.19289340101522842,0.3872549019607843,0.21441631906748185,0.25751662020158694,0.32230357948079275,0.07479935634918118,0.3091642003871833,0.5151041666666667,0.7203994293865906,0.6091639744283324,0.5147058823529411,0.4219584491195288
P5COMP,CYC,KroganExt,747,408,0.8246318607764391,0.5808823529411765,0.7607839213577299,0.6816211332805748,0.6173801180867612,0.32070795484363795,0.5138298027168423,0.5880208333333333,0.730121053880845,0.6552300287206212,0.625,0.37241081389003616
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5245098039215687,0.7582602533439633,0.6496845500687823,0.5683081876877626,0.32412733399613747,0.4319829844621599,0.5661458333333333,0.7446443873179092,0.6492898560697581,0.5931372549019608,0.6748796243653349
CUBCO+,CYC,KroganExt,230,408,0.7739130434782608,0.48284313725490197,0.6906453849305141,0.594671595977411,0.522116936564564,0.26876594433227236,0.388864312200815,0.4734375,0.7473170731707317,0.5948175576000327,0.5392156862745098,0.6311176981484857
ClusterOne,CYC,KroganExt,132,408,0.8712121212121212,0.3284313725490196,0.6547861853287104,0.4770307082714215,0.37518016438783064,0.2063485761901848,0.24418407050596574,0.46510416666666665,0.6791778373547811,0.5620395378097206,0.39215686274509803,0.4809928013790002
